,AvgPriceperBottle,MarginPerBottle,PricePerLiter,R^2Score,TotalBottlesSold,TotalSales,Zip Code
122,14.8399427995,4.95972745626,13.1806619232,0.915394586295,35469,463841.86,50501
123,15.2406341463,5.09504390244,12.5135510264,0.78030070147,9780,133792.51,50511
124,10.7058823529,3.57058823529,10.8228947368,0.729117498824,270,2467.62,50514
125,16.4655256065,5.49547169811,14.2104104312,0.768337356995,2699,39691.95,50517
126,13.4470481928,4.49722891566,12.3334695321,0.616984310612,1317,15696.19,50525
127,7.8592,2.622,10.3959047221,0.754853177128,462,2487.74,50529
128,14.8401075269,4.96247311828,13.9363334912,0.874549792642,491,7354.9,50530
129,15.0680067568,5.0360472973,11.6698806639,0.99511943898,2706,38040.31,50533
130,11.3822580645,3.82193548387,12.141809291,0.914000990204,288,2979.6,50535
131,15.6149787234,5.21676595745,13.1905481272,0.767078717871,4424,61557.65,50536
132,14.595,4.86666666667,15.7409090909,0.897240361948,168,2077.8,50540
133,8.878125,2.96125,9.09538461538,0.817288824203,234,1773.6,50541
134,8.772,2.95666666667,9.55960099751,0.578977078394,312,2300.04,50542
135,15.7940909091,5.27348484848,13.7086933752,0.687317432611,959,12564.84,50543
136,14.4170749543,4.81895795247,13.0154933041,0.852188595612,4334,57166.91,50548
137,12.2772340426,4.10936170213,10.1329363918,0.77048892873,1283,13852.94,50554
138,13.3956395349,4.47430232558,13.4297682285,0.807542253396,1157,15245.07,50563
139,9.2465,3.092,12.225046729,0.590962510682,252,1962.12,50569
140,13.4303703704,4.48525252525,10.8562458389,0.984444953712,2084,26089.73,50574
141,10.0974107143,3.37035714286,10.2580751639,0.792746463916,698,6526.29,50579
142,14.9091176471,4.97117647059,12.8820441347,0.907236297576,193,2772.86,50581
143,15.7446875,5.259328125,11.9201957997,0.682608357077,2728,36138.1,50583
144,14.1503482587,4.72751243781,11.8309838686,0.728763258588,893,10583.17,50585
145,15.7720499603,5.26927835052,14.4493133405,0.686273126739,14734,201149.18,50588
146,15.2690909091,5.09151515152,13.1331610624,0.356520989346,320,4015.07,50590
147,13.2353424658,4.42478310502,12.6049600177,0.960576652115,7102,85515.2,50595
148,17.0749056604,5.69613207547,10.1905834618,0.992534981053,1027,15471.14,50597
149,13.3561538462,4.46065934066,11.6379235711,0.740694116952,555,6721.25,50601
150,12.8840689655,4.31013793103,9.8541571155,0.830438100021,920,10962.06,50602
151,9.49868421053,3.18118421053,10.3264716872,0.926486524318,329,3040.01,50606
152,15.1274501614,5.05514144674,14.1932001307,0.780191468458,46902,625944.68,50613
153,14.536711165,4.85359223301,13.0415323676,0.853592896517,9605,123367.81,50616
154,11.4584848485,3.83045454545,12.3649729842,0.888053385503,652,7140.03,50619
155,14.4922222222,4.86373737374,11.1430637667,0.790387026845,473,6163.34,50621
156,12.9066129032,4.32919354839,11.3169511969,0.898345156103,1002,12197.41,50622
157,13.3859493671,4.47085443038,10.8095872558,0.983083149009,2632,33425.73,50627
158,17.5320833333,5.85895833333,13.1512912867,0.919539950225,505,8580.56,50628
159,14.4847674419,4.85290697674,11.1751982379,0.712916645125,427,5073.54,50629
160,13.0028205128,4.34743589744,10.4784549356,0.922124622527,423,5493.33,50630
161,11.76,3.92166666667,17.2569856054,1.0,33,407.61,50634
162,11.5622972973,3.86135135135,10.6530412371,0.867537144499,365,4133.38,50635
163,14.2310377358,4.75924528302,11.2412958435,0.82122132207,371,4597.69,50636
164,12.3723002421,4.13401937046,11.9294077506,0.752458657356,2369,26572.04,50638
165,9.42387096774,3.14258064516,12.8935761589,0.64630194606,722,3893.86,50641
166,17.434,5.82975,14.0131017595,0.632223195789,377,5551.01,50643
167,14.7628316611,4.92702341137,13.0159348349,0.921303105694,7823,109552.26,50644
168,13.6746017699,4.56548672566,14.213742414,0.647312980667,1842,21078.98,50647
169,14.8209944751,4.95436464088,12.098317757,0.755766022278,709,9385.27,50648
170,13.4375403226,4.49564516129,12.6362805343,0.839045296448,1179,14929.26,50651
171,14.293372093,4.77279069767,12.2582689487,0.769347068823,483,6267.04,50658
172,13.9537451737,4.668996139,10.8469906787,0.839469662476,1834,23052.35,50659
173,13.5206467662,4.52429519071,12.3410143515,0.558237983954,7979,100428.83,50662
174,13.2792941176,4.44364705882,11.1435483871,0.880568254411,915,11399.85,50665
175,13.8992361111,4.63479166667,15.6881123033,0.446095211358,728,7398.2,50667
176,12.176969697,4.09848484848,11.1844289044,0.807411087525,325,3598.59,50669
177,15.5144610778,5.1797005988,13.2182503753,0.822911204648,801,11533.32,50674
178,13.4454857143,4.48411428571,11.5316093491,0.534340474743,1296,12936.39,50675
179,14.0306722689,4.68953781513,11.4614079345,0.816461841585,1527,20263.54,50676
180,14.9356865285,4.99195595855,13.0704683817,0.827637444721,11856,160655.27,50677
181,9.86047619048,3.31285714286,8.66118811881,0.635509514819,312,2624.34,50680
182,15.5079245283,5.18490566038,14.1019543974,0.863384048066,414,6061.02,50682
183,14.1435259133,4.72362361937,14.7763509216,0.753470828165,22600,259495.33,50701
184,14.2021574803,4.74360944882,13.723965524,0.713661806747,39974,478738.03,50702
185,12.2933968804,4.10347660312,16.4207680648,0.537528183975,54285,476790.63,50703
186,12.0674198251,4.03150145773,13.7858968997,0.536534452623,7022,55702.33,50707
187,15.1447125353,5.06044297832,14.0290684589,0.893165015011,8006,112822.47,50801
188,11.65,3.91333333333,12.2865536723,0.979131890531,264,3262.08,50830
189,13.7612101911,4.59458598726,12.9455552289,0.842278444518,593,7925.01,50833
190,15.2532478632,5.09111111111,12.6777700789,0.7470635217,955,12441.71,50841
191,19.9624193548,6.65580645161,13.8338998836,0.678006210434,527,8912.49,50846
192,14.0587113402,4.69458762887,13.0813974205,0.649942295982,1426,16887.43,50849
193,13.4029787234,4.47326241135,12.9054961134,0.772812211488,685,7056.08,50851
194,14.007761194,4.68278606965,11.4158804736,0.903103020566,1298,18223.17,50854
195,13.4822727273,4.51090909091,12.2470351759,0.778776230632,167,1827.87,50864
196,12.4928985507,4.17333333333,12.7305355771,0.760019944049,504,5469.42,51001
197,11.5314285714,3.84571428571,11.9054883721,0.848167209856,195,1919.76,51002
198,13.2700609756,4.43524390244,12.3193029936,0.598463348682,872,10378.52,51004
199,11.6954545455,3.94272727273,13.0860952381,0.930656017086,186,2061.06,51005
200,14.4433079848,4.8319391635,12.6026957799,0.544439551326,7144,80297.32,51012
201,15.0442774566,5.02832369942,12.6680944178,0.621670053635,1252,16325.88,51023
202,16.31825,5.44871875,14.8524195161,0.771143391207,1924,29710.78,51025
203,15.8555555556,5.28722222222,16.3478599222,0.845362986976,202,3151.05,51027
204,12.4496,4.1676,11.6087671233,0.716544077544,521,5720.22,51028
205,15.2448006135,5.08973159509,13.6855848971,0.799081045447,10615,146477.91,51031
206,15.5028505747,5.18588505747,13.0042149906,0.844347677323,2119,29926.73,51034
207,13.6206493506,4.55935064935,11.6036452005,0.799110591517,367,4774.9,51035
208,11.857,3.978,12.8365384615,0.765695976209,97,1001.25,51038
209,14.0529634146,4.69793902439,13.8985353459,0.500063060724,3390,37852.8,51040
